aaa	
wnim	⢥⢫
wnin	⢬⢥
wnio	⢥⢬
wnip	⢭⢥
wniq	⢥⢭
wnir	⢮⢥
wnis	⢥⢮
wnit	⢯⢥
wniu	⢥⢯
wnja	⵮⵮
wnjb	ⵯ⵮
wnjc	⵮ⵯ
wnjd	⵰⵮
wnje	⵮⵰
wnjf	⵱⵮
wnjg	⵮⵱
wnjh	⵲⵮
wnji	⵮⵲
wnjj	⵳⵮
wnjk	⵮⵳
wnjl	⵴⵮
wnjm	⵮⵴
wnjn	⵵⵮
wnjo	⵮⵵
wnjp	⵶⵮
wnjq	⵮⵶
wnjr	⵷⵮
wnjs	⵮⵷
wnjt	⵸⵮
wnka	㈷㈷
wnkb	㈸㈷
wnkc	㈷㈸
wnkd	㈹㈷
wnke	㈷㈹
wnkf	㈺㈷
wnkg	㈷㈺
wnkh	㈻㈷
wnki	㈷㈻
wnkj	㈼㈷
wnkk	㈷㈼
wnkl	㈽㈷
wnkm	㈷㈽
wnkn	㈾㈷
wnko	㈷㈾
wnkp	㈿㈷
wnkq	㈷㈿
wnkr	㉀㈷
wnks	㈷㉀
woaa	ʀʀ
woab	ʁʀ
woac	ʀʁ
woad	ʂʀ
woae	ʀʂ
woaf	ʃʀ
woag	ʀʃ
woah	ʄʀ
woai	ʀʄ
woaj	ʅʀ
woak	ʀʅ
woal	ʆʀ
woam	ʀʆ
woan	ʇʀ
woao	ʀʇ
woap	ʈʀ
woaq	ʀʈ
woar	ʉʀ
woas	ʀʉ
woat	ʊʀ
woau	ʀʊ
woav	ʋʀ
woaw	ʀʋ
woax	ʌʀ
woay	ʀʌ
woaz	ʍʀ
woba	݉݉
wobb	݊݉
wobc	݉݊
wobd	݋݉
wobe	݉݋
wobf	݌݉
wobg	݉݌
wobh	ݍ݉
wobi	݉ݍ
wobj	ݎ݉
wobk	݉ݎ
wobl	ݏ݉
wobm	݉ݏ
wobn	ݐ݉
wobo	݉ݐ
wobp	ݑ݉
wobq	݉ݑ
wobr	ݒ݉
wobs	݉ݒ
wobt	ݓ݉
wobu	݉ݓ
wobv	ݔ݉
wobw	݉ݔ
wobx	ݕ݉
woby	݉ݕ
wobz	ݖ݉
woca	ఒఒ
wocb	ఓఒ
wocc	ఒఓ
wocd	ఔఒ
woce	ఒఔ
wocf	కఒ
wocg	ఒక
woch	ఖఒ
woci	ఒఖ
wocj	గఒ
wock	ఒగ
wocl	ఘఒ
wocm	ఒఘ
wocn	ఙఒ
woco	ఒఙ
wocp	చఒ
wocq	ఒచ
wocr	ఛఒ
wocs	ఒఛ
woct	జఒ
wocu	ఒజ
wocv	ఝఒ
wocw	ఒఝ
wocx	ఞఒ
wocy	ఒఞ
wocz	టఒ
woda	მმ
wodb	ნმ
wodc	მნ
wodd	ომ
wode	მო
wodf	პმ
wodg	მპ
wodh	ჟმ
wodi	მჟ
wodj	რმ
wodk	მრ
wodl	სმ
wodm	მს
wodn	ტმ
wodo	მტ
wodp	უმ
wodq	მუ
wodr	ფმ
wods	მფ
wodt	ქმ
wodu	მქ
wodv	ღმ
wodw	მღ
wodx	ყმ
wody	მყ
wodz	შმ
woea	ᖤᖤ
woeb	ᖥᖤ
woec	ᖤᖥ
woed	ᖦᖤ
woee	ᖤᖦ
woef	ᖧᖤ
woeg	ᖤᖧ
woeh	ᖨᖤ
woei	ᖤᖨ
woej	ᖩᖤ
woek	ᖤᖩ
woel	ᖪᖤ
woem	ᖤᖪ
woen	ᖫᖤ
woeo	ᖤᖫ
woep	ᖬᖤ
woeq	ᖤᖬ
woer	ᖭᖤ
woes	ᖤᖭ
woet	ᖮᖤ
woeu	ᖤᖮ
woev	ᖯᖤ
woew	ᖤᖯ
woex	ᖰᖤ
woey	ᖤᖰ
woez	ᖱᖤ
wofa	ᩭᩭ
wofb	ᩮᩭ
wofc	ᩭᩮ
wofd	ᩯᩭ
wofe	ᩭᩯ
woff	ᩰᩭ
wofg	ᩭᩰ
wofh	ᩱᩭ
wofi	ᩭᩱ
wofj	ᩲᩭ
wofk	ᩭᩲ
wofl	ᩳᩭ
wofm	ᩭᩳ
wofn	ᩴᩭ
wofo	ᩭᩴ
wofp	᩵ᩭ
wofq	ᩭ᩵
wofr	᩶ᩭ
wofs	ᩭ᩶
woft	᩷ᩭ
wofu	ᩭ᩷
wofv	᩸ᩭ
wofw	ᩭ᩸
wofx	᩹ᩭ
wofy	ᩭ᩹
woga	ἶἶ
wogb	ἷἶ
wogc	ἶἷ
wogd	Ἰἶ
woge	ἶἸ
wogf	Ἱἶ
wogg	ἶἹ
wogh	Ἲἶ
wogi	ἶἺ
wogj	Ἳἶ
wogk	ἶἻ
wogl	Ἴἶ
wogm	ἶἼ
wogn	Ἵἶ
wogo	ἶἽ
wogp	Ἶἶ
wogq	ἶἾ
wogr	Ἷἶ
wogs	ἶἿ
wogt	ὀἶ
wogu	ἶὀ
wogv	ὁἶ
wogw	ἶὁ
woha	⏿⏿
wohb	␀⏿
wohc	⏿␀
wohd	␁⏿
wohe	⏿␁
wohf	␂⏿
wohg	⏿␂
wohh	␃⏿
wohi	⏿␃
wohj	␄⏿
wohk	⏿␄
wohl	␅⏿
wohm	⏿␅
wohn	␆⏿
woho	⏿␆
wohp	␇⏿
wohq	⏿␇
wohr	␈⏿
wohs	⏿␈
woht	␉⏿
wohu	⏿␉
wohv	␊⏿
wohw	⏿␊
woia	⣈⣈
woib	⣉⣈
woic	⣈⣉
woid	⣊⣈
woie	⣈⣊
woif	⣋⣈
woig	⣈⣋
woih	⣌⣈
woii	⣈⣌
woij	⣍⣈
woik	⣈⣍
woil	⣎⣈
woim	⣈⣎
woin	⣏⣈
woio	⣈⣏
woip	⣐⣈
woiq	⣈⣐
woir	⣑⣈
wois	⣈⣑
woit	⣒⣈
woiu	⣈⣒
woja	ⶑⶑ
wojb	ⶒⶑ
wojc	ⶑⶒ
wojd	ⶓⶑ
woje	ⶑⶓ
wojf	ⶔⶑ
wojg	ⶑⶔ
wojh	ⶕⶑ
woji	ⶑⶕ
wojj	ⶖⶑ
wojk	ⶑⶖ
wojl	⶗ⶑ
wojm	ⶑ⶗
wojn	⶘ⶑ
wojo	ⶑ⶘
wojp	⶙ⶑ
wojq	ⶑ⶙
wojr	⶚ⶑ
wojs	ⶑ⶚
wojt	⶛ⶑ
woka	㉚㉚
wokb	㉛㉚
wokc	㉚㉛
wokd	㉜㉚
woke	㉚㉜
wokf	㉝㉚
wokg	㉚㉝
wokh	㉞㉚
woki	㉚㉞
wokj	㉟㉚
wokk	㉚㉟
wokl	㉠㉚
wokm	㉚㉠
wokn	㉡㉚
woko	㉚㉡
wokp	㉢㉚
wokq	㉚㉢
wokr	㉣㉚
woks	㉚㉣
wpaa	ʣʣ
wpab	ʤʣ
wpac	ʣʤ
wpad	ʥʣ
wpae	ʣʥ
wpaf	ʦʣ
wpag	ʣʦ
wpah	ʧʣ
wpai	ʣʧ
wpaj	ʨʣ
wpak	ʣʨ
wpal	ʩʣ
wpam	ʣʩ
wpan	ʪʣ
wpao	ʣʪ
wpap	ʫʣ
wpaq	ʣʫ
wpar	ʬʣ
wpas	ʣʬ
wpat	ʭʣ
wpau	ʣʭ
wpav	ʮʣ
wpaw	ʣʮ
wpax	ʯʣ
wpay	ʣʯ
wpaz	ʰʣ
wpba	ݬݬ
wpbb	ݭݬ
wpbc	ݬݭ
wpbd	ݮݬ
wpbe	ݬݮ
wpbf	ݯݬ
wpbg	ݬݯ
wpbh	ݰݬ
wpbi	ݬݰ
wpbj	ݱݬ
wpbk	ݬݱ
wpbl	ݲݬ
wpbm	ݬݲ
wpbn	ݳݬ
wpbo	ݬݳ
wpbp	ݴݬ
wpbq	ݬݴ
wpbr	ݵݬ
wpbs	ݬݵ
wpbt	ݶݬ
wpbu	ݬݶ
wpbv	ݷݬ
wpbw	ݬݷ
wpbx	ݸݬ
wpby	ݬݸ
wpbz	ݹݬ
wpca	వవ
wpcb	శవ
wpcc	వశ
wpcd	షవ
wpce	వష
wpcf	సవ
wpcg	వస
wpch	హవ
wpci	వహ
wpcj	఺వ
wpck	వ఺
wpcl	఻వ
wpcm	వ఻
wpcn	఼వ
wpco	వ఼
wpcp	ఽవ
wpcq	వఽ
wpcr	ావ
wpcs	వా
wpct	ివ
wpcu	వి
wpcv	ీవ
wpcw	వీ
wpcx	ువ
wpcy	వు
wpcz	ూవ
wpda	ჾჾ
wpdb	ჿჾ
wpdc	ჾჿ
wpdd	ᄀჾ
wpde	ჾᄀ
wpdf	ᄁჾ
wpdg	ჾᄁ
wpdh	ᄂჾ
wpdi	ჾᄂ
wpdj	ᄃჾ
wpdk	ჾᄃ
wpdl	ᄄჾ
wpdm	ჾᄄ
wpdn	ᄅჾ
wpdo	ჾᄅ
wpdp	ᄆჾ
wpdq	ჾᄆ
wpdr	ᄇჾ
wpds	ჾᄇ
wpdt	ᄈჾ
wpdu	ჾᄈ
wpdv	ᄉჾ
wpdw	ჾᄉ
wpdx	ᄊჾ
wpdy	ჾᄊ
wpdz	ᄋჾ
wpea	ᗇᗇ
wpeb	ᗈᗇ
wpec	ᗇᗈ
wped	ᗉᗇ
wpee	ᗇᗉ
wpef	ᗊᗇ
wpeg	ᗇᗊ
wpeh	ᗋᗇ
wpei	ᗇᗋ
wpej	ᗌᗇ
wpek	ᗇᗌ
wpel	ᗍᗇ
wpem	ᗇᗍ
wpen	ᗎᗇ
wpeo	ᗇᗎ
wpep	ᗏᗇ
wpeq	ᗇᗏ
wper	ᗐᗇ
wpes	ᗇᗐ
wpet	ᗑᗇ
wpeu	ᗇᗑ
wpev	ᗒᗇ
wpew	ᗇᗒ
wpex	ᗓᗇ
wpey	ᗇᗓ
wpez	ᗔᗇ
wpfa	᪐᪐
wpfb	᪑᪐
wpfc	᪐᪑
wpfd	᪒᪐
wpfe	᪐᪒
wpff	᪓᪐
wpfg	᪐᪓
wpfh	᪔᪐
wpfi	᪐᪔
wpfj	᪕᪐
wpfk	᪐᪕
wpfl	᪖᪐
wpfm	᪐᪖
wpfn	᪗᪐
wpfo	᪐᪗
wpfp	᪘᪐
wpfq	᪐᪘
wpfr	᪙᪐
wpfs	᪐᪙
wpft	᪚᪐
wpfu	᪐᪚
wpfv	᪛᪐
wpfw	᪐᪛
wpfx	᪜᪐
wpfy	᪐᪜
wpga	ὙὙ
wpgb	὚Ὑ
wpgc	Ὑ὚
wpgd	ὛὙ
wpge	ὙὛ
wpgf	὜Ὑ
wpgg	Ὑ὜
wpgh	ὝὙ
wpgi	ὙὝ
wpgj	὞Ὑ
wpgk	Ὑ὞
wpgl	ὟὙ
wpgm	ὙὟ
wpgn	ὠὙ
wpgo	Ὑὠ
wpgp	ὡὙ
wpgq	Ὑὡ
wpgr	ὢὙ
wpgs	Ὑὢ
wpgt	ὣὙ
wpgu	Ὑὣ
wpgv	ὤὙ
wpgw	Ὑὤ
wpha	␢␢
wphb	␣␢
wphc	␢␣
wphd	␤␢
wphe	␢␤
wphf	␥␢
wphg	␢␥
wphh	␦␢
wphi	␢␦
wphj	␧␢
wphk	␢␧
wphl	␨␢
wphm	␢␨
wphn	␩␢
wpho	␢␩
wphp	␪␢
wphq	␢␪
wphr	␫␢
wphs	␢␫
wpht	␬␢
wphu	␢␬
wphv	␭␢
wpia	⣫⣫
wpib	⣬⣫
wpic	⣫⣬
wpid	⣭⣫
wpie	⣫⣭
wpif	⣮⣫
wpig	⣫⣮
wpih	⣯⣫
wpii	⣫⣯
wpij	⣰⣫
wpik	⣫⣰
wpil	⣱⣫
wpim	⣫⣱
wpin	⣲⣫
wpio	⣫⣲
wpip	⣳⣫
wpiq	⣫⣳
wpir	⣴⣫
wpis	⣫⣴
wpit	⣵⣫
wpiu	⣫⣵
wpja	ⶴⶴ
wpjb	ⶵⶴ
wpjc	ⶴⶵ
wpjd	ⶶⶴ
wpje	ⶴⶶ
wpjf	⶷ⶴ
wpjg	ⶴ⶷
wpjh	ⶸⶴ
wpji	ⶴⶸ
wpjj	ⶹⶴ
wpjk	ⶴⶹ
wpjl	ⶺⶴ
wpjm	ⶴⶺ
wpjn	ⶻⶴ
wpjo	ⶴⶻ
wpjp	ⶼⶴ
wpjq	ⶴⶼ
wpjr	ⶽⶴ
wpjs	ⶴⶽ
wpjt	ⶾⶴ
wpka	㉽㉽
wpkb	㉾㉽
wpkc	㉽㉾
wpkd	㉿㉽
wpke	㉽㉿
wpkf	㊀㉽
wpkg	㉽㊀
wpkh	㊁㉽
wpki	㉽㊁
wpkj	㊂㉽
wpkk	㉽㊂
wpkl	㊃㉽
wpkm	㉽㊃
wpkn	㊄㉽
wpko	㉽㊄
wpkp	㊅㉽
wpkq	㉽㊅
wpkr	㊆㉽
wpks	㉽㊆
wqaa	ˆˆ
wqab	ˇˆ
wqac	ˆˇ
wqad	ˈˆ
wqae	ˆˈ
wqaf	ˉˆ
wqag	ˆˉ
wqah	ˊˆ
wqai	ˆˊ
wqaj	ˋˆ
wqak	ˆˋ
wqal	ˌˆ
wqam	ˆˌ
wqan	ˍˆ
wqao	ˆˍ
wqap	ˎˆ
wqaq	ˆˎ
wqar	ˏˆ
wqas	ˆˏ
wqat	ːˆ
wqau	ˆː
wqav	ˑˆ
wqaw	ˆˑ
wqax	˒ˆ
wqay	ˆ˒
wqaz	˓ˆ
wqba	ޏޏ
wqbb	ސޏ
wqbc	ޏސ
wqbd	ޑޏ
wqbe	ޏޑ
wqbf	ޒޏ
wqbg	ޏޒ
wqbh	ޓޏ
wqbi	ޏޓ
wqbj	ޔޏ
wqbk	ޏޔ
wqbl	ޕޏ
wqbm	ޏޕ
wqbn	ޖޏ
wqbo	ޏޖ
wqbp	ޗޏ
wqbq	ޏޗ
wqbr	ޘޏ
wqbs	ޏޘ
wqbt	ޙޏ
wqbu	ޏޙ
wqbv	ޚޏ
wqbw	ޏޚ
wqbx	ޛޏ
wqby	ޏޛ
wqbz	ޜޏ
wqca	ౘౘ
wqcb	ౙౘ
wqcc	ౘౙ
wqcd	ౚౘ
wqce	ౘౚ
wqcf	౛ౘ
wqcg	ౘ౛
wqch	౜ౘ
wqci	ౘ౜
wqcj	ౝౘ
wqck	ౘౝ
wqcl	౞ౘ
wqcm	ౘ౞
wqcn	౟ౘ
wqco	ౘ౟
wqcp	ౠౘ
wqcq	ౘౠ
wqcr	ౡౘ
wqcs	ౘౡ
wqct	ౢౘ
wqcu	ౘౢ
wqcv	ౣౘ
wqcw	ౘౣ
wqcx	౤ౘ
wqcy	ౘ౤
wqcz	౥ౘ
wqda	ᄡᄡ
wqdb	ᄢᄡ
wqdc	ᄡᄢ
wqdd	ᄣᄡ
wqde	ᄡᄣ
wqdf	ᄤᄡ
wqdg	ᄡᄤ
wqdh	ᄥᄡ
wqdi	ᄡᄥ
wqdj	ᄦᄡ
wqdk	ᄡᄦ
wqdl	ᄧᄡ
wqdm	ᄡᄧ
wqdn	ᄨᄡ
wqdo	ᄡᄨ
wqdp	ᄩᄡ
wqdq	ᄡᄩ
wqdr	ᄪᄡ
wqds	ᄡᄪ
wqdt	ᄫᄡ
wqdu	ᄡᄫ
wqdv	ᄬᄡ
wqdw	ᄡᄬ
wqdx	ᄭᄡ
wqdy	ᄡᄭ
wqdz	ᄮᄡ
wqea	ᗪᗪ
wqeb	ᗫᗪ
wqec	ᗪᗫ
wqed	ᗬᗪ
wqee	ᗪᗬ
wqef	ᗭᗪ
wqeg	ᗪᗭ
wqeh	ᗮᗪ
wqei	ᗪᗮ
wqej	ᗯᗪ
wqek	ᗪᗯ
wqel	ᗰᗪ
wqem	ᗪᗰ
wqen	ᗱᗪ
wqeo	ᗪᗱ
wqep	ᗲᗪ
wqeq	ᗪᗲ
wqer	ᗳᗪ
wqes	ᗪᗳ
wqet	ᗴᗪ
wqeu	ᗪᗴ
wqev	ᗵᗪ
wqew	ᗪᗵ
wqex	ᗶᗪ
wqey	ᗪᗶ
wqez	ᗷᗪ
wqfa	᪳᪳
wqfb	᪴᪳
wqfc	᪳᪴
wqfd	᪵᪳
wqfe	᪵᪳
wqff	᪶᪳
wqfg	᪶᪳
wqfh	᪷᪳
wqfi	᪷᪳
wqfj	᪸᪳
wqfk	᪸᪳
wqfl	᪹᪳
wqfm	᪹᪳
wqfn	᪺᪳
wqfo	᪺᪳
wqfp	᪻᪳
wqfq	᪳᪻
wqfr	᪼᪳
wqfs	᪳᪼
wqft	᪽᪳
wqfu	᪽᪳
wqfv	᪾᪳
wqfw	᪳᪾
wqfx	ᪿ᪳
wqfy	ᪿ᪳
wqga	ὼὼ
wqgb	ώὼ
wqgc	ὼώ
wqgd	὾ὼ
wqge	ὼ὾
wqgf	὿ὼ
wqgg	ὼ὿
wqgh	ᾀὼ
wqgi	ὼᾀ
wqgj	ᾁὼ
wqgk	ὼᾁ
wqgl	ᾂὼ
wqgm	ὼᾂ
wqgn	ᾃὼ
wqgo	ὼᾃ
wqgp	ᾄὼ
wqgq	ὼᾄ
wqgr	ᾅὼ
wqgs	ὼᾅ
wqgt	ᾆὼ
wqgu	ὼᾆ
wqgv	ᾇὼ
wqgw	ὼᾇ
wqha	⑅⑅
wqhb	⑆⑅
wqhc	⑅⑆
wqhd	⑇⑅
wqhe	⑅⑇
wqhf	⑈⑅
wqhg	⑅⑈
wqhh	⑉⑅
wqhi	⑅⑉
wqhj	⑊⑅
wqhk	⑅⑊
wqhl	⑋⑅
wqhm	⑅⑋
wqhn	⑌⑅
wqho	⑅⑌
wqhp	⑍⑅
wqhq	⑅⑍
wqhr	⑎⑅
wqhs	⑅⑎
wqht	⑏⑅
wqhu	⑅⑏
wqhv	⑐⑅
wqia	⤎⤎
wqib	⤏⤎
wqic	⤎⤏
wqid	⤐⤎
wqie	⤎⤐
wqif	⤑⤎
wqig	⤎⤑
wqih	⤒⤎
wqii	⤎⤒
wqij	⤓⤎
wqik	⤎⤓
wqil	⤔⤎
wqim	⤎⤔
wqin	⤕⤎
wqio	⤎⤕
wqip	⤖⤎
wqiq	⤎⤖
wqir	⤗⤎
wqis	⤎⤗
wqit	⤘⤎
wqiu	⤎⤘
wqja	⷗⷗
wqjb	ⷘ⷗
wqjc	⷗ⷘ
wqjd	ⷙ⷗
wqje	⷗ⷙ
wqjf	ⷚ⷗
wqjg	⷗ⷚ
wqjh	ⷛ⷗
wqji	⷗ⷛ
wqjj	ⷜ⷗
wqjk	⷗ⷜ
wqjl	ⷝ⷗
wqjm	⷗ⷝ
wqjn	ⷞ⷗
wqjo	⷗ⷞ
wqjp	⷟⷗
wqjq	⷗⷟
wqjr	ⷠ⷗
wqjs	⷗ⷠ
wqjt	ⷡ⷗
wqka	㊠㊠
wqkb	㊡㊠
wqkc	㊠㊡
wqkd	㊢㊠
wqke	㊠㊢
wqkf	㊣㊠
wqkg	㊠㊣
wqkh	㊤㊠
wqki	㊠㊤
wqkj	㊥㊠
wqkk	㊠㊥
wqkl	㊦㊠
wqkm	㊠㊦
wqkn	㊧㊠
wqko	㊠㊧
wqkp	㊨㊠
wqkq	㊠㊨
wqkr	㊩㊠
wqks	㊠㊩
wraa	˩˩
wrab	˪˩
wrac	˩˪
wrad	˫˩
wrae	˩˫
wraf	ˬ˩
wrag	˩ˬ
wrah	˭˩
wrai	˩˭
wraj	ˮ˩
wrak	˩ˮ
wral	˯˩
wram	˩˯
wran	˰˩
wrao	˩˰
wrap	˱˩
wraq	˩˱
wrar	˲˩
wras	˩˲
wrat	˳˩
wrau	˩˳
wrav	˴˩
wraw	˩˴
wrax	˵˩
wray	˩˵
wraz	˶˩
wrba	޲޲
wrbb	޳޲
wrbc	޲޳
wrbd	޴޲
wrbe	޲޴
wrbf	޵޲
wrbg	޲޵
wrbh	޶޲
wrbi	޲޶
wrbj	޷޲
wrbk	޲޷
wrbl	޸޲
wrbm	޲޸
wrbn	޹޲
wrbo	޲޹
wrbp	޺޲
wrbq	޲޺
wrbr	޻޲
wrbs	޲޻
wrbt	޼޲
wrbu	޲޼
wrbv	޽޲
wrbw	޲޽
wrbx	޾޲
wrby	޲޾
wrbz	޿޲
wrca	౻౻
wrcb	౼౻
wrcc	౻౼
wrcd	౽౻
wrce	౻౽
wrcf	౾౻
wrcg	౻౾
wrch	౿౻
wrci	౻౿
wrcj	ಀ౻
wrck	౻ಀ
wrcl	ಁ౻
wrcm	౻ಁ
wrcn	ಂ౻
wrco	౻ಂ
wrcp	ಃ౻
wrcq	౻ಃ
wrcr	಄౻
wrcs	౻಄
wrct	ಅ౻
wrcu	౻ಅ
wrcv	ಆ౻
wrcw	౻ಆ
wrcx	ಇ౻
wrcy	౻ಇ
wrcz	ಈ౻
wrda	ᅄᅄ
wrdb	ᅅᅄ
wrdc	ᅄᅅ
wrdd	ᅆᅄ
wrde	ᅄᅆ
wrdf	ᅇᅄ
wrdg	ᅄᅇ
wrdh	ᅈᅄ
wrdi	ᅄᅈ
wrdj	ᅉᅄ
wrdk	ᅄᅉ
wrdl	ᅊᅄ
wrdm	ᅄᅊ
wrdn	ᅋᅄ
wrdo	ᅄᅋ
wrdp	ᅌᅄ
wrdq	ᅄᅌ
wrdr	ᅍᅄ
wrds	ᅄᅍ
wrdt	ᅎᅄ
wrdu	ᅄᅎ
wrdv	ᅏᅄ
wrdw	ᅄᅏ
wrdx	ᅐᅄ
wrdy	ᅄᅐ
wrdz	ᅑᅄ
wrea	ᘍᘍ
wreb	ᘎᘍ
wrec	ᘍᘎ
wred	ᘏᘍ
wree	ᘍᘏ
wref	ᘐᘍ
wreg	ᘍᘐ
wreh	ᘑᘍ
wrei	ᘍᘑ
wrej	ᘒᘍ
wrek	ᘍᘒ
wrel	ᘓᘍ
wrem	ᘍᘓ
wren	ᘔᘍ
wreo	ᘍᘔ
wrep	ᘕᘍ
wreq	ᘍᘕ
wrer	ᘖᘍ
wres	ᘍᘖ
wret	ᘗᘍ
wreu	ᘍᘗ
wrev	ᘘᘍ
wrew	ᘍᘘ
wrex	ᘙᘍ
wrey	ᘍᘙ
wrez	ᘚᘍ
wrfa	᫖᫖
wrfb	᫗᫖
wrfc	᫖᫗
wrfd	᫘᫖
wrfe	᫖᫘
wrff	᫙᫖
wrfg	᫖᫙
wrfh	᫚᫖
wrfi	᫖᫚
wrfj	᫛᫖
wrfk	᫖᫛
wrfl	᫜᫖
wrfm	᫖᫜
wrfn	᫝᫖
wrfo	᫖᫝
wrfp	᫞᫖
wrfq	᫖᫞
wrfr	᫟᫖
wrfs	᫖᫟
wrft	᫠᫖
wrfu	᫖᫠
wrfv	᫡᫖
wrfw	᫖᫡
wrfx	᫢᫖
wrfy	᫖᫢
wrga	ᾟᾟ
wrgb	ᾠᾟ
wrgc	ᾟᾠ
wrgd	ᾡᾟ
wrge	ᾟᾡ
wrgf	ᾢᾟ
wrgg	ᾟᾢ
wrgh	ᾣᾟ
wrgi	ᾟᾣ
wrgj	ᾤᾟ
wrgk	ᾟᾤ
wrgl	ᾥᾟ
wrgm	ᾟᾥ
wrgn	ᾦᾟ
wrgo	ᾟᾦ
wrgp	ᾧᾟ
wrgq	ᾟᾧ
wrgr	ᾨᾟ
wrgs	ᾟᾨ
wrgt	ᾩᾟ
wrgu	ᾟᾩ
wrgv	ᾪᾟ
wrgw	ᾟᾪ
wrha	⑨⑨
wrhb	⑩⑨
wrhc	⑨⑩
wrhd	⑪⑨
wrhe	⑨⑪
wrhf	⑫⑨
wrhg	⑨⑫
wrhh	⑬⑨
wrhi	⑨⑬
wrhj	⑭⑨
wrhk	⑨⑭
wrhl	⑮⑨
wrhm	⑨⑮
wrhn	⑯⑨
wrho	⑨⑯
wrhp	⑰⑨
wrhq	⑨⑰
wrhr	⑱⑨
wrhs	⑨⑱
wrht	⑲⑨
wrhu	⑨⑲
wrhv	⑳⑨
wria	⤱⤱
wrib	⤲⤱
wric	⤱⤲
wrid	⤳⤱
wrie	⤱⤳
wrif	⤴⤱
wrig	⤱⤴
wrih	⤵⤱
wrii	⤱⤵
wrij	⤶⤱
wrik	⤱⤶
wril	⤷⤱
wrim	⤱⤷
wrin	⤸⤱
wrio	⤱⤸
wrip	⤹⤱
wriq	⤱⤹
wrir	⤺⤱
wris	⤱⤺
writ	⤻⤱
wriu	⤱⤻
wrja	ⷺⷺ
wrjb	ⷻⷺ
wrjc	ⷺⷻ
wrjd	ⷼⷺ
wrje	ⷺⷼ
wrjf	ⷽⷺ
wrjg	ⷺⷽ
wrjh	ⷾⷺ
wrji	ⷺⷾ
wrjj	ⷿⷺ
wrjk	ⷺⷿ
wrjl	⸀ⷺ
wrjm	ⷺ⸀
wrjn	⸁ⷺ
wrjo	ⷺ⸁
wrjp	⸂ⷺ
wrjq	ⷺ⸂
wrjr	⸃ⷺ
wrjs	ⷺ⸃
wrjt	⸄ⷺ
wrka	㋃㋃
wrkb	㋄㋃
wrkc	㋃㋄
wrkd	㋅㋃
wrke	㋃㋅
wrkf	㋆㋃
wrkg	㋃㋆
wrkh	㋇㋃
wrki	㋃㋇
wrkj	㋈㋃
wrkk	㋃㋈
wrkl	㋉㋃
wrkm	㋃㋉
wrkn	㋊㋃
wrko	㋃㋊
wrkp	㋋㋃
wrkq	㋃㋋
wrkr	㋌㋃
wrks	㋃㋌
wsaa	̌̌
wsab	̍̌
wsac	̌̍
wsad	̎̌
wsae	̌̎
wsaf	̏̌
wsag	̌̏
wsah	̐̌
wsai	̌̐
wsaj	̑̌
wsak	̌̑
wsal	̒̌
wsam	̌̒
wsan	̓̌
wsao	̌̓
wsap	̔̌
wsaq	̌̔
wsar	̌̕
wsas	̌̕
wsat	̖̌
wsau	̖̌
wsav	̗̌
wsaw	̗̌
wsax	̘̌
wsay	̘̌
wsaz	̙̌
wsba	ߕߕ
wsbb	ߖߕ
wsbc	ߕߖ
wsbd	ߗߕ
wsbe	ߕߗ
wsbf	ߘߕ
wsbg	ߕߘ
wsbh	ߙߕ
wsbi	ߕߙ
wsbj	ߚߕ
wsbk	ߕߚ
wsbl	ߛߕ
wsbm	ߕߛ
wsbn	ߜߕ
wsbo	ߕߜ
wsbp	ߝߕ
wsbq	ߕߝ
wsbr	ߞߕ
wsbs	ߕߞ
wsbt	ߟߕ
wsbu	ߕߟ
wsbv	ߠߕ
wsbw	ߕߠ
wsbx	ߡߕ
wsby	ߕߡ
wsbz	ߢߕ
wsca	ಞಞ
wscb	ಟಞ
wscc	ಞಟ
wscd	ಠಞ
wsce	ಞಠ
wscf	ಡಞ
wscg	ಞಡ
wsch	ಢಞ
wsci	ಞಢ
wscj	ಣಞ
wsck	ಞಣ
wscl	ತಞ
wscm	ಞತ
wscn	ಥಞ
wsco	ಞಥ
wscp	ದಞ
wscq	ಞದ
wscr	ಧಞ
wscs	ಞಧ
wsct	ನಞ
wscu	ಞನ
wscv	಩ಞ
wscw	ಞ಩
wscx	ಪಞ
wscy	ಞಪ
wscz	ಫಞ
wsda	ᅧᅧ
wsdb	ᅨᅧ
wsdc	ᅧᅨ
wsdd	ᅩᅧ
wsde	ᅧᅩ
wsdf	ᅪᅧ
wsdg	ᅧᅪ
wsdh	ᅫᅧ
wsdi	ᅧᅫ
wsdj	ᅬᅧ
wsdk	ᅧᅬ
wsdl	ᅭᅧ
wsdm	ᅧᅭ
wsdn	ᅮᅧ
wsdo	ᅧᅮ
wsdp	ᅯᅧ
wsdq	ᅧᅯ
wsdr	ᅰᅧ
wsds	ᅧᅰ
wsdt	ᅱᅧ
wsdu	ᅧᅱ
wsdv	ᅲᅧ
wsdw	ᅧᅲ
wsdx	ᅳᅧ
wsdy	ᅧᅳ
wsdz	ᅴᅧ
wsea	ᘰᘰ
wseb	ᘱᘰ
wsec	ᘰᘱ
wsed	ᘲᘰ
wsee	ᘰᘲ
wsef	ᘳᘰ
wseg	ᘰᘳ
wseh	ᘴᘰ
wsei	ᘰᘴ
wsej	ᘵᘰ
wsek	ᘰᘵ
